0000000554,scans,0000000064,DataLength
"header",0000000022,"lines"
"Date",2023-01-20,"Time",4:04:35 PM
"ID","HAL V RC RGA 201 #12263","Version",3
"Scans",3
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",40.00,40.00,0.01,100.000%,100.000%,1.200000,1.000000,
"Scan 2","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,0.860000,1.000000,
"Scan 3","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",500,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",910,"V"
"resolution",0,"%"
"Data",3
"Time","ms","Argon","Oxygen","Nitrogen",
00:00:01,      1002,  7.36658e-08,  1.14353e-06,  3.76804e-06,
00:00:01,      1316,  6.53783e-08,  1.14610e-06,  3.78351e-06,
00:00:01,      1628,  6.96142e-08,  1.14740e-06,  3.78241e-06,
00:00:01,      1915,  6.76350e-08,  1.15638e-06,  3.82440e-06,
00:00:06,      6344,  6.83575e-08,  1.17309e-06,  3.85313e-06,
00:00:10,     10774,  6.87625e-08,  1.16281e-06,  3.86197e-06,
00:00:15,     15231,  6.88275e-08,  1.17951e-06,  3.87302e-06,
00:00:19,     19688,  6.90667e-08,  1.17437e-06,  3.87744e-06,
00:00:24,     24118,  6.91908e-08,  1.17566e-06,  3.88517e-06,
00:00:28,     28548,  6.93292e-08,  1.17823e-06,  3.88628e-06,
00:00:33,     33005,  6.93567e-08,  1.17309e-06,  3.90506e-06,
00:00:37,     37434,  6.93333e-08,  1.18337e-06,  3.88407e-06,
00:00:41,     41891,  6.93842e-08,  1.17951e-06,  3.89180e-06,
00:00:46,     46348,  6.93525e-08,  1.17951e-06,  3.89733e-06,
00:00:50,     50804,  6.95367e-08,  1.17823e-06,  3.89180e-06,
00:00:55,     55234,  6.97108e-08,  1.18722e-06,  3.89733e-06,
00:00:59,     59664,  6.97433e-08,  1.18465e-06,  3.90506e-06,
00:01:04,     64121,  6.97892e-08,  1.18337e-06,  3.90617e-06,
00:01:08,     68577,  6.97017e-08,  1.18465e-06,  3.90727e-06,
00:01:13,     73007,  6.98267e-08,  1.18208e-06,  3.90285e-06,
00:01:17,     77463,  6.97983e-08,  1.18337e-06,  3.89291e-06,
00:01:21,     81678,  6.97108e-08,  1.18080e-06,  3.90506e-06,
00:01:26,     86134,  6.97800e-08,  1.18465e-06,  3.89512e-06,
00:01:30,     90564,  6.97433e-08,  1.17566e-06,  3.90506e-06,
00:01:34,     94994,  6.96883e-08,  1.18851e-06,  3.90396e-06,
00:01:39,     99425,  6.97850e-08,  1.19108e-06,  3.89843e-06,
00:01:43,    103882,  6.96700e-08,  1.18208e-06,  3.89401e-06,
00:01:48,    108338,  6.98400e-08,  1.18337e-06,  3.90617e-06,
00:01:52,    112795,  6.97617e-08,  1.18080e-06,  3.89291e-06,
00:01:57,    117224,  6.97758e-08,  1.18337e-06,  3.89733e-06,
00:02:01,    121681,  6.96700e-08,  1.18465e-06,  3.89622e-06,
00:02:06,    126138,  6.95267e-08,  1.17694e-06,  3.89070e-06,
00:02:10,    130568,  7.14192e-08,  1.17951e-06,  3.88959e-06,
00:02:14,    134972,  7.06000e-08,  1.18722e-06,  3.88296e-06,
00:02:19,    139401,  9.30225e-08,  1.14610e-06,  3.82219e-06,
00:02:23,    143858,  1.89415e-07,  1.14740e-06,  3.80230e-06,
00:02:24,    144144,  2.25512e-07,  1.13840e-06,  3.78462e-06,
00:02:24,    144378,  2.53689e-07,  1.13198e-06,  3.76473e-06,
00:02:24,    144639,  2.79104e-07,  1.12941e-06,  3.73489e-06,
00:02:24,    144927,  3.14280e-07,  1.11399e-06,  3.70837e-06,
00:02:25,    145213,  3.71463e-07,  1.10114e-06,  3.66859e-06,
00:02:25,    145499,  4.09586e-07,  1.09600e-06,  3.63213e-06,
00:02:25,    145786,  4.59863e-07,  1.07288e-06,  3.58682e-06,
00:02:26,    146072,  5.26900e-07,  1.05617e-06,  3.54815e-06,
00:02:26,    146358,  5.94213e-07,  1.04846e-06,  3.50284e-06,
00:02:26,    146618,  6.26442e-07,  1.02084e-06,  3.47522e-06,
00:02:26,    146905,  6.85375e-07,  1.00542e-06,  3.40560e-06,
00:02:27,    147218,  7.53425e-07,  9.89873e-07,  3.36140e-06,
00:02:27,    147532,  8.08767e-07,  9.62248e-07,  3.30173e-06,
00:02:27,    147845,  8.73775e-07,  9.47086e-07,  3.26195e-06,
00:02:28,    148131,  9.35750e-07,  9.26014e-07,  3.17576e-06,
00:02:28,    148444,  1.02580e-06,  9.13165e-07,  3.12714e-06,
00:02:28,    148730,  1.08197e-06,  8.91965e-07,  3.09068e-06,
00:02:28,    148964,  1.13723e-06,  8.74619e-07,  3.03322e-06,
00:02:29,    149250,  1.18879e-06,  8.61770e-07,  2.98791e-06,
00:02:29,    149509,  1.24588e-06,  8.44424e-07,  2.91388e-06,
00:02:29,    149822,  1.31034e-06,  8.23738e-07,  2.87741e-06,
00:02:30,    150082,  1.35362e-06,  8.10119e-07,  2.83100e-06,
00:02:30,    150395,  1.40703e-06,  7.89431e-07,  2.76470e-06,
00:02:30,    150682,  1.48530e-06,  7.67331e-07,  2.69951e-06,
00:02:30,    150942,  1.51845e-06,  7.53455e-07,  2.66083e-06,
00:02:31,    151228,  1.54699e-06,  7.42020e-07,  2.62768e-06,
00:02:31,    151489,  1.60408e-06,  7.30070e-07,  2.58127e-06,
00:02:31,    151775,  1.62711e-06,  7.10540e-07,  2.54260e-06,
00:02:32,    152061,  1.65933e-06,  7.13495e-07,  2.51055e-06,
00:02:32,    152322,  1.70722e-06,  6.89340e-07,  2.47519e-06,
00:02:32,    152607,  1.72932e-06,  6.89083e-07,  2.44425e-06,
00:02:32,    152866,  1.75878e-06,  6.73150e-07,  2.41110e-06,
00:02:33,    153125,  1.78641e-06,  6.71351e-07,  2.37243e-06,
00:02:33,    153412,  1.81403e-06,  6.50664e-07,  2.33486e-06,
00:02:33,    153698,  1.84534e-06,  6.42313e-07,  2.30723e-06,
00:02:33,    153985,  1.87297e-06,  6.35888e-07,  2.28403e-06,
00:02:34,    154244,  1.88402e-06,  6.26894e-07,  2.26082e-06,
00:02:34,    154557,  1.90243e-06,  6.21112e-07,  2.23430e-06,
00:02:34,    154843,  1.93098e-06,  6.13788e-07,  2.21773e-06,
00:02:35,    155102,  1.94203e-06,  6.06079e-07,  2.19452e-06,
00:02:35,    155388,  1.94940e-06,  6.04794e-07,  2.18458e-06,
00:02:35,    155701,  1.97426e-06,  5.98884e-07,  2.16690e-06,
00:02:36,    156013,  1.98255e-06,  5.92587e-07,  2.15474e-06,
00:02:36,    156327,  1.98347e-06,  5.91174e-07,  2.14148e-06,
00:02:36,    156639,  1.98531e-06,  5.89247e-07,  2.13927e-06,
00:02:36,    156925,  1.99820e-06,  5.85135e-07,  2.13817e-06,
00:02:37,    157238,  1.99544e-06,  5.91688e-07,  2.14148e-06,
