0000000532,scans,0000000064,DataLength
"header",0000000022,"lines"
"Date",2023-01-20,"Time",4:15:34 PM
"ID","HAL V RC RGA 201 #12263","Version",3
"Scans",3
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",40.00,40.00,0.01,100.000%,100.000%,1.200000,1.000000,
"Scan 2","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,0.860000,1.000000,
"Scan 3","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",500,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",910,"V"
"resolution",0,"%"
"Data",3
"Time","ms","Argon","Oxygen","Nitrogen",
00:00:01,      1002,  8.28742e-08,  1.11784e-06,  3.69069e-06,
00:00:01,      1316,  6.99825e-08,  1.11784e-06,  3.71500e-06,
00:00:01,      1628,  6.97067e-08,  1.12684e-06,  3.70948e-06,
00:00:01,      1940,  6.68292e-08,  1.13198e-06,  3.74815e-06,
00:00:06,      6370,  6.74917e-08,  1.14740e-06,  3.77578e-06,
00:00:10,     10799,  6.77958e-08,  1.14483e-06,  3.77136e-06,
00:00:15,     15016,  6.80125e-08,  1.14353e-06,  3.79346e-06,
00:00:19,     19472,  6.83533e-08,  1.15381e-06,  3.81887e-06,
00:00:23,     23903,  6.83942e-08,  1.16409e-06,  3.81445e-06,
00:00:28,     28332,  6.86058e-08,  1.15767e-06,  3.82550e-06,
00:00:32,     32763,  6.87125e-08,  1.15638e-06,  3.81998e-06,
00:00:37,     37192,  6.87442e-08,  1.16152e-06,  3.82329e-06,
00:00:41,     41623,  6.87583e-08,  1.16666e-06,  3.82219e-06,
00:00:46,     46079,  6.88592e-08,  1.15767e-06,  3.83324e-06,
00:00:50,     50509,  6.89558e-08,  1.16281e-06,  3.83434e-06,
00:00:54,     54966,  6.89150e-08,  1.16409e-06,  3.82882e-06,
00:00:59,     59396,  6.88917e-08,  1.15767e-06,  3.83655e-06,
00:01:03,     63826,  6.90067e-08,  1.16409e-06,  3.83434e-06,
00:01:08,     68229,  6.90300e-08,  1.16923e-06,  3.83103e-06,
00:01:12,     72632,  6.90900e-08,  1.17309e-06,  3.83876e-06,
00:01:17,     77063,  6.90300e-08,  1.16024e-06,  3.83213e-06,
00:01:21,     81518,  6.90850e-08,  1.16666e-06,  3.83876e-06,
00:01:25,     85921,  6.91450e-08,  1.16024e-06,  3.83655e-06,
00:01:30,     90324,  6.91775e-08,  1.16409e-06,  3.84318e-06,
00:01:34,     94729,  6.92050e-08,  1.16024e-06,  3.84429e-06,
00:01:39,     99158,  6.95042e-08,  1.16666e-06,  3.85092e-06,
00:01:43,    103589,  6.94300e-08,  1.16795e-06,  3.84539e-06,
00:01:47,    107994,  6.96142e-08,  1.17052e-06,  3.85202e-06,
00:01:52,    112450,  6.96558e-08,  1.16923e-06,  3.85976e-06,
00:01:56,    116906,  6.97250e-08,  1.16666e-06,  3.85534e-06,
00:02:01,    121336,  6.96792e-08,  1.17052e-06,  3.84981e-06,
00:02:05,    125766,  6.95317e-08,  1.16281e-06,  3.84318e-06,
00:02:10,    130169,  8.83258e-08,  1.16152e-06,  3.82108e-06,
00:02:14,    134626,  9.69633e-08,  1.16024e-06,  3.82771e-06,
00:02:14,    134912,  8.95967e-08,  1.16281e-06,  3.82329e-06,
00:02:15,    135173,  8.91358e-08,  1.16666e-06,  3.82440e-06,
00:02:15,    135406,  9.22667e-08,  1.16409e-06,  3.83103e-06,
00:02:15,    135693,  9.02408e-08,  1.16923e-06,  3.82329e-06,
00:02:15,    135951,  8.96883e-08,  1.16281e-06,  3.82550e-06,
00:02:16,    136211,  8.87675e-08,  1.16152e-06,  3.82329e-06,
00:02:16,    136524,  9.02408e-08,  1.16666e-06,  3.80230e-06,
00:02:16,    136811,  8.88600e-08,  1.15895e-06,  3.82882e-06,
00:02:17,    137096,  8.95967e-08,  1.16666e-06,  3.81114e-06,
00:02:17,    137383,  8.56367e-08,  1.16281e-06,  3.82108e-06,
00:02:17,    137643,  8.30583e-08,  1.15767e-06,  3.81887e-06,
00:02:17,    137955,  8.82150e-08,  1.16666e-06,  3.80893e-06,
00:02:18,    138241,  8.45317e-08,  1.16281e-06,  3.82661e-06,
00:02:18,    138527,  8.68342e-08,  1.16024e-06,  3.81666e-06,
00:02:18,    138813,  8.48083e-08,  1.16923e-06,  3.81224e-06,
00:02:19,    139099,  8.44400e-08,  1.16024e-06,  3.82329e-06,
00:02:19,    139386,  8.01117e-08,  1.16152e-06,  3.81666e-06,
00:02:19,    139673,  8.10325e-08,  1.16152e-06,  3.81666e-06,
00:02:19,    139958,  8.15850e-08,  1.15381e-06,  3.81666e-06,
00:02:20,    140244,  8.04800e-08,  1.15895e-06,  3.80893e-06,
00:02:20,    140557,  7.89150e-08,  1.15767e-06,  3.81224e-06,
00:02:20,    140869,  8.31508e-08,  1.16281e-06,  3.81556e-06,
00:02:21,    141156,  7.84542e-08,  1.15510e-06,  3.80893e-06,
00:02:21,    141469,  7.92833e-08,  1.15895e-06,  3.81777e-06,
00:02:21,    141756,  8.31508e-08,  1.16024e-06,  3.81445e-06,
00:02:22,    142041,  8.53608e-08,  1.15253e-06,  3.80451e-06,
00:02:22,    142301,  9.27275e-08,  1.16024e-06,  3.79898e-06,
00:02:22,    142587,  9.55817e-08,  1.15253e-06,  3.80451e-06,
00:02:22,    142874,  1.05251e-07,  1.15124e-06,  3.77799e-06,
00:02:23,    143161,  1.20444e-07,  1.14610e-06,  3.78683e-06,
00:02:23,    143447,  1.38861e-07,  1.13840e-06,  3.76362e-06,
00:02:23,    143733,  1.63816e-07,  1.13712e-06,  3.75810e-06,
00:02:23,    143992,  1.88310e-07,  1.12684e-06,  3.73268e-06,
00:02:24,    144279,  2.14462e-07,  1.11784e-06,  3.70174e-06,
00:02:24,    144539,  2.54518e-07,  1.11270e-06,  3.67743e-06,
00:02:24,    144852,  2.92272e-07,  1.10114e-06,  3.65091e-06,
00:02:25,    145166,  3.37577e-07,  1.08444e-06,  3.62329e-06,
00:02:25,    145478,  3.78093e-07,  1.07545e-06,  3.57522e-06,
00:02:25,    145738,  4.48629e-07,  1.06388e-06,  3.53489e-06,
00:02:26,    146024,  4.94027e-07,  1.04975e-06,  3.50947e-06,
00:02:26,    146285,  5.44120e-07,  1.02161e-06,  3.46085e-06,
00:02:26,    146545,  5.92740e-07,  1.00940e-06,  3.40118e-06,
00:02:26,    146858,  6.62631e-07,  9.92571e-07,  3.37577e-06,
00:02:27,    147145,  6.96333e-07,  9.88845e-07,  3.32936e-06,
00:02:27,    147431,  7.51307e-07,  9.62248e-07,  3.29621e-06,
00:02:27,    147717,  8.00658e-07,  9.46058e-07,  3.24206e-06,
00:02:28,    148004,  8.59867e-07,  9.25629e-07,  3.18902e-06,
00:02:28,    148265,  9.19267e-07,  9.13808e-07,  3.15587e-06,
00:02:28,    148550,  9.77917e-07,  9.05842e-07,  3.09952e-06,
00:02:28,    148836,  1.04606e-06,  8.82714e-07,  3.04427e-06,
00:02:29,    149148,  1.08566e-06,  8.64983e-07,  3.00007e-06,
00:02:29,    149407,  1.15103e-06,  8.46351e-07,  2.93929e-06,
00:02:29,    149693,  1.20812e-06,  8.32860e-07,  2.91609e-06,
00:02:29,    149953,  1.24128e-06,  8.20783e-07,  2.85752e-06,
00:02:30,    150213,  1.28456e-06,  8.14358e-07,  2.82658e-06,
00:02:30,    150500,  1.33060e-06,  7.96627e-07,  2.76581e-06,
00:02:30,    150812,  1.38217e-06,  7.75170e-07,  2.72603e-06,
00:02:31,    151098,  1.42084e-06,  7.64248e-07,  2.68735e-06,
00:02:31,    151384,  1.47057e-06,  7.49600e-07,  2.63652e-06,
00:02:31,    151670,  1.51477e-06,  7.26215e-07,  2.58680e-06,
00:02:31,    151982,  1.54699e-06,  7.17864e-07,  2.55807e-06,
00:02:32,    152294,  1.57830e-06,  7.11440e-07,  2.53044e-06,
00:02:32,    152580,  1.61238e-06,  7.00647e-07,  2.48182e-06,
00:02:32,    152892,  1.65658e-06,  6.88953e-07,  2.45088e-06,
00:02:33,    153206,  1.67868e-06,  6.81244e-07,  2.42215e-06,
00:02:33,    153493,  1.69893e-06,  6.74820e-07,  2.40005e-06,
00:02:33,    153726,  1.72288e-06,  6.64413e-07,  2.38237e-06,
00:02:34,    154041,  1.73945e-06,  6.58630e-07,  2.35806e-06,
00:02:34,    154300,  1.76431e-06,  6.50150e-07,  2.33928e-06,
00:02:34,    154587,  1.77076e-06,  6.44240e-07,  2.32270e-06,
00:02:34,    154900,  1.79009e-06,  6.44240e-07,  2.30613e-06,
00:02:35,    155212,  1.79470e-06,  6.36659e-07,  2.29397e-06,
00:02:35,    155525,  1.80759e-06,  6.37173e-07,  2.28624e-06,
00:02:35,    155784,  1.81219e-06,  6.23040e-07,  2.28071e-06,
00:02:36,    156045,  1.82233e-06,  6.31263e-07,  2.26745e-06,
00:02:36,    156357,  1.83061e-06,  6.25223e-07,  2.27519e-06,
00:02:36,    156643,  1.82233e-06,  6.32162e-07,  2.27408e-06,
00:02:36,    156956,  1.82693e-06,  6.31263e-07,  2.26856e-06,
