0000000297,scans,0000000064,DataLength
"header",0000000022,"lines"
"Date",2023-01-19,"Time",5:58:23 PM
"ID","HAL V RC RGA 201 #12263","Version",3
"Scans",3
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",40.00,40.00,0.01,100.000%,100.000%,1.200000,1.000000,
"Scan 2","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,0.860000,1.000000,
"Scan 3","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",500,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",910,"V"
"resolution",0,"%"
"Data",3
"Time","ms","Argon","Oxygen","Nitrogen",
00:00:01,      1002,  8.28742e-08,  1.20778e-06,  3.93379e-06,
00:00:01,      1315,  7.64283e-08,  1.21421e-06,  3.95368e-06,
00:00:01,      1627,  7.79942e-08,  1.21549e-06,  3.95368e-06,
00:00:01,      1939,  7.82700e-08,  1.21164e-06,  3.95479e-06,
00:00:02,      2225,  8.09408e-08,  1.21806e-06,  3.96584e-06,
00:00:02,      2538,  7.89150e-08,  1.21935e-06,  3.96915e-06,
00:00:02,      2824,  7.50475e-08,  1.22063e-06,  3.96363e-06,
00:00:03,      3136,  7.52317e-08,  1.23220e-06,  4.02993e-06,
00:00:07,      7592,  7.62858e-08,  1.24762e-06,  4.05424e-06,
00:00:12,     12022,  7.68108e-08,  1.25147e-06,  4.08076e-06,
00:00:16,     16452,  7.70092e-08,  1.26174e-06,  4.08076e-06,
00:00:20,     20882,  7.73267e-08,  1.26174e-06,  4.08407e-06,
00:00:25,     25285,  7.73083e-08,  1.25019e-06,  4.09291e-06,
00:00:29,     29716,  7.73450e-08,  1.26431e-06,  4.09733e-06,
00:00:33,     33932,  7.73450e-08,  1.25917e-06,  4.11170e-06,
00:00:38,     38362,  7.74650e-08,  1.25790e-06,  4.09291e-06,
00:00:42,     42792,  7.74000e-08,  1.26303e-06,  4.11059e-06,
00:00:47,     47249,  7.76208e-08,  1.26431e-06,  4.08739e-06,
00:00:51,     51465,  7.76717e-08,  1.25790e-06,  4.11280e-06,
00:00:55,     55922,  7.75292e-08,  1.26431e-06,  4.11059e-06,
00:01:00,     60378,  7.77592e-08,  1.26688e-06,  4.10838e-06,
00:01:04,     64835,  7.75842e-08,  1.25790e-06,  4.12275e-06,
00:01:09,     69292,  7.77408e-08,  1.26817e-06,  4.11612e-06,
00:01:13,     73748,  7.78883e-08,  1.25790e-06,  4.13159e-06,
00:01:18,     78205,  7.81600e-08,  1.27331e-06,  4.11722e-06,
00:01:22,     82635,  7.71283e-08,  1.26174e-06,  4.10838e-06,
00:01:27,     87065,  7.69125e-08,  1.25276e-06,  4.09291e-06,
00:01:31,     91495,  7.64475e-08,  1.24762e-06,  4.06529e-06,
00:01:35,     95925,  7.63600e-08,  1.24633e-06,  4.07192e-06,
