0000000261,scans,0000000064,DataLength
"header",0000000022,"lines"
"Date",2023-01-19,"Time",6:21:26 PM
"ID","HAL V RC RGA 201 #12263","Version",3
"Scans",3
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",40.00,40.00,0.01,100.000%,100.000%,1.200000,1.000000,
"Scan 2","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,0.860000,1.000000,
"Scan 3","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",500,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",910,"V"
"resolution",0,"%"
"Data",3
"Time","ms","Argon","Oxygen","Nitrogen",
00:00:01,      1003,  6.44575e-08,  1.10500e-06,  3.52494e-06,
00:00:01,      1316,  7.18242e-08,  1.09857e-06,  3.55257e-06,
00:00:01,      1628,  6.89700e-08,  1.11270e-06,  3.56030e-06,
00:00:01,      1914,  6.87808e-08,  1.13326e-06,  3.67854e-06,
00:00:06,      6370,  7.00517e-08,  1.14997e-06,  3.73379e-06,
00:00:10,     10800,  7.09033e-08,  1.15510e-06,  3.78462e-06,
00:00:15,     15257,  7.13967e-08,  1.16923e-06,  3.79346e-06,
00:00:19,     19687,  7.19767e-08,  1.16538e-06,  3.81777e-06,
00:00:24,     24143,  7.18058e-08,  1.18337e-06,  3.82219e-06,
00:00:28,     28573,  7.21467e-08,  1.17180e-06,  3.83324e-06,
00:00:32,     32978,  7.23450e-08,  1.17437e-06,  3.84208e-06,
00:00:37,     37434,  7.19350e-08,  1.17437e-06,  3.82440e-06,
00:00:41,     41838,  7.19808e-08,  1.17052e-06,  3.82771e-06,
00:00:46,     46293,  7.21833e-08,  1.17566e-06,  3.84208e-06,
00:00:50,     50696,  7.20550e-08,  1.18208e-06,  3.84650e-06,
00:00:55,     55153,  7.24142e-08,  1.17694e-06,  3.85313e-06,
00:00:59,     59583,  7.23725e-08,  1.17951e-06,  3.85092e-06,
00:01:04,     64040,  7.25700e-08,  1.17694e-06,  3.86639e-06,
00:01:08,     68470,  7.25017e-08,  1.18208e-06,  3.85865e-06,
00:01:12,     72873,  7.26625e-08,  1.19365e-06,  3.85644e-06,
00:01:17,     77329,  7.27542e-08,  1.18465e-06,  3.85755e-06,
00:01:21,     81785,  7.28100e-08,  1.18722e-06,  3.87191e-06,
00:01:26,     86241,  7.28142e-08,  1.18722e-06,  3.87191e-06,
00:01:30,     90672,  7.29617e-08,  1.18080e-06,  3.88296e-06,
00:01:35,     95102,  7.28325e-08,  1.18979e-06,  3.86749e-06,
00:01:39,     99557,  7.29983e-08,  1.18851e-06,  3.88517e-06,
00:01:44,    104013,  7.30542e-08,  1.18465e-06,  3.89954e-06,
00:01:48,    108470,  7.31225e-08,  1.19108e-06,  3.88296e-06,
00:01:52,    112927,  7.31733e-08,  1.19236e-06,  3.88738e-06,
00:01:57,    117383,  7.31092e-08,  1.19622e-06,  3.88186e-06,
00:02:01,    121814,  7.33850e-08,  1.18979e-06,  3.88959e-06,
00:02:06,    126270,  7.40900e-08,  1.17437e-06,  3.82992e-06,
00:02:10,    130700,  7.27450e-08,  1.17437e-06,  3.83103e-06,
00:02:15,    135103,  9.29992e-08,  9.85505e-07,  3.31610e-06,
00:02:19,    139534,  8.35467e-07,  9.52483e-07,  3.23101e-06,
00:02:19,    139846,  9.18800e-07,  9.27556e-07,  3.16582e-06,
00:02:20,    140132,  1.01383e-06,  9.10081e-07,  3.10283e-06,
00:02:20,    140391,  1.07921e-06,  8.93507e-07,  3.06305e-06,
00:02:20,    140624,  1.11788e-06,  8.80915e-07,  3.00891e-06,
00:02:20,    140883,  1.16761e-06,  8.53676e-07,  2.97355e-06,
00:02:21,    141196,  1.20168e-06,  8.50978e-07,  2.93929e-06,
00:02:21,    141510,  1.22747e-06,  8.43140e-07,  2.89951e-06,
00:02:21,    141770,  1.24496e-06,  8.35045e-07,  2.88736e-06,
00:02:22,    142030,  1.25141e-06,  8.31962e-07,  2.88183e-06,
00:02:22,    142316,  1.25509e-06,  8.31448e-07,  2.88294e-06,
00:02:22,    142549,  1.26153e-06,  8.29649e-07,  2.87852e-06,
00:02:22,    142835,  1.25693e-06,  8.27336e-07,  2.88625e-06,
00:02:23,    143148,  1.24680e-06,  8.41213e-07,  2.89730e-06,
00:02:23,    143434,  1.23668e-06,  8.38514e-07,  2.90062e-06,
00:02:23,    143720,  1.21733e-06,  8.42883e-07,  2.92603e-06,
00:02:23,    143980,  1.19800e-06,  8.56631e-07,  2.95255e-06,
00:02:24,    144240,  1.16853e-06,  8.60228e-07,  2.96692e-06,
00:02:24,    144527,  1.13998e-06,  8.68580e-07,  2.99233e-06,
00:02:24,    144840,  1.12893e-06,  8.66910e-07,  3.01554e-06,
00:02:25,    145101,  1.09947e-06,  8.75391e-07,  3.03432e-06,
00:02:25,    145388,  1.07552e-06,  8.82071e-07,  3.07189e-06,
00:02:25,    145621,  1.04790e-06,  8.92093e-07,  3.08626e-06,
00:02:25,    145907,  1.01843e-06,  9.00702e-07,  3.12051e-06,
00:02:26,    146168,  9.97258e-07,  9.08412e-07,  3.12714e-06,
00:02:26,    146401,  9.64108e-07,  9.23059e-07,  3.15587e-06,
00:02:26,    146687,  9.46608e-07,  9.25243e-07,  3.19013e-06,
00:02:26,    146947,  9.10700e-07,  9.36165e-07,  3.21002e-06,
00:02:27,    147260,  8.84917e-07,  9.42717e-07,  3.22328e-06,
00:02:27,    147573,  8.58208e-07,  9.50427e-07,  3.25201e-06,
00:02:27,    147886,  8.29667e-07,  9.50427e-07,  3.27521e-06,
00:02:28,    148146,  8.02958e-07,  9.65588e-07,  3.30063e-06,
00:02:28,    148459,  7.81787e-07,  9.70600e-07,  3.31941e-06,
00:02:28,    148745,  7.56003e-07,  9.85248e-07,  3.33599e-06,
00:02:29,    149031,  7.32982e-07,  9.92443e-07,  3.34483e-06,
00:02:29,    149317,  7.07752e-07,  9.95527e-07,  3.37908e-06,
00:02:29,    149576,  6.82428e-07,  9.96169e-07,  3.38682e-06,
00:02:29,    149835,  6.64473e-07,  1.00157e-06,  3.38903e-06,
00:02:30,    150068,  6.47898e-07,  1.00940e-06,  3.39787e-06,
00:02:30,    150382,  6.27547e-07,  1.01172e-06,  3.43765e-06,
00:02:30,    150694,  6.07933e-07,  1.01737e-06,  3.45312e-06,
00:02:30,    150980,  5.87491e-07,  1.02559e-06,  3.44980e-06,
00:02:31,    151266,  5.70824e-07,  1.02932e-06,  3.48737e-06,
00:02:31,    151552,  5.49921e-07,  1.03356e-06,  3.48185e-06,
00:02:31,    151838,  5.35464e-07,  1.03086e-06,  3.49290e-06,
00:02:32,    152071,  5.17508e-07,  1.04217e-06,  3.49953e-06,
00:02:32,    152332,  5.07931e-07,  1.04435e-06,  3.53157e-06,
00:02:32,    152617,  4.89330e-07,  1.04551e-06,  3.52494e-06,
00:02:32,    152876,  4.79109e-07,  1.05887e-06,  3.54594e-06,
00:02:33,    153161,  4.64008e-07,  1.05412e-06,  3.54925e-06,
00:02:33,    153421,  4.51668e-07,  1.05669e-06,  3.56362e-06,
00:02:33,    153735,  4.34725e-07,  1.05682e-06,  3.58019e-06,
00:02:34,    154048,  4.18058e-07,  1.06697e-06,  3.57467e-06,
00:02:34,    154309,  4.11796e-07,  1.06889e-06,  3.58461e-06,
00:02:34,    154624,  3.97523e-07,  1.07133e-06,  3.59124e-06,
00:02:34,    154910,  3.79014e-07,  1.07712e-06,  3.60008e-06,
00:02:35,    155224,  3.74503e-07,  1.07737e-06,  3.61334e-06,
00:02:35,    155456,  3.63453e-07,  1.07994e-06,  3.60671e-06,
00:02:35,    155743,  3.50837e-07,  1.08354e-06,  3.61666e-06,
00:02:36,    156056,  3.37208e-07,  1.08290e-06,  3.64870e-06,
00:02:36,    156344,  3.27172e-07,  1.09189e-06,  3.63544e-06,
00:02:36,    156604,  3.27079e-07,  1.08765e-06,  3.63213e-06,
00:02:36,    156863,  3.11886e-07,  1.08662e-06,  3.65754e-06,
00:02:37,    157150,  3.04058e-07,  1.09035e-06,  3.66528e-06,
00:02:37,    157463,  2.92456e-07,  1.09305e-06,  3.65644e-06,
00:02:37,    157749,  2.89049e-07,  1.10179e-06,  3.66638e-06,
00:02:38,    158008,  2.78091e-07,  1.10269e-06,  3.66638e-06,
00:02:38,    158294,  2.74960e-07,  1.09215e-06,  3.67191e-06,
00:02:38,    158553,  2.62621e-07,  1.10320e-06,  3.67191e-06,
00:02:38,    158785,  2.62253e-07,  1.10423e-06,  3.68738e-06,
00:02:39,    159044,  2.57832e-07,  1.10384e-06,  3.67964e-06,
00:02:39,    159330,  2.47703e-07,  1.10705e-06,  3.69180e-06,
00:02:39,    159643,  2.43283e-07,  1.11052e-06,  3.70174e-06,
00:02:39,    159929,  2.38311e-07,  1.10860e-06,  3.69732e-06,
00:02:40,    160161,  2.26064e-07,  1.11463e-06,  3.71500e-06,
00:02:40,    160473,  2.24314e-07,  1.10860e-06,  3.70506e-06,
00:02:40,    160785,  2.18237e-07,  1.10326e-06,  3.69511e-06,
00:02:41,    161045,  2.08937e-07,  1.11103e-06,  3.72495e-06,
00:02:41,    161331,  2.03780e-07,  1.11862e-06,  3.71611e-06,
00:02:41,    161618,  2.03228e-07,  1.12452e-06,  3.72163e-06,
00:02:41,    161878,  2.00373e-07,  1.11707e-06,  3.72384e-06,
00:02:42,    162138,  1.97242e-07,  1.11887e-06,  3.72274e-06,
00:02:42,    162398,  1.94203e-07,  1.12247e-06,  3.72274e-06,
00:02:42,    162711,  1.88494e-07,  1.11463e-06,  3.73268e-06,
00:02:42,    162970,  1.81035e-07,  1.12131e-06,  3.73379e-06,
00:02:43,    163204,  1.74129e-07,  1.11681e-06,  3.73379e-06,
00:02:43,    163463,  1.72103e-07,  1.11784e-06,  3.74263e-06,
00:02:43,    163750,  1.67683e-07,  1.12851e-06,  3.73931e-06,
00:02:44,    164036,  1.69157e-07,  1.12799e-06,  3.75036e-06,
00:02:44,    164296,  1.69617e-07,  1.12902e-06,  3.75257e-06,
00:02:44,    164557,  1.60593e-07,  1.12594e-06,  3.75478e-06,
00:02:44,    164817,  1.56909e-07,  1.12915e-06,  3.73876e-06,
00:02:45,    165103,  1.53410e-07,  1.12697e-06,  3.75920e-06,
00:02:45,    165389,  1.58383e-07,  1.11887e-06,  3.75368e-06,
00:02:45,    165701,  1.47517e-07,  1.13005e-06,  3.74926e-06,
00:02:45,    165961,  1.45583e-07,  1.13147e-06,  3.75147e-06,
00:02:46,    166275,  1.45952e-07,  1.13840e-06,  3.76031e-06,
00:02:46,    166562,  1.45399e-07,  1.12902e-06,  3.75810e-06,
00:02:46,    166821,  1.42728e-07,  1.12748e-06,  3.75147e-06,
00:02:47,    167081,  1.40795e-07,  1.13635e-06,  3.74815e-06,
00:02:47,    167394,  1.34718e-07,  1.13043e-06,  3.76694e-06,
00:02:47,    167680,  1.36007e-07,  1.13391e-06,  3.76252e-06,
00:02:47,    167966,  1.30113e-07,  1.12542e-06,  3.76252e-06,
00:02:48,    168226,  1.35270e-07,  1.14187e-06,  3.75589e-06,
00:02:48,    168486,  1.30205e-07,  1.13365e-06,  3.77467e-06,
00:02:48,    168773,  1.34257e-07,  1.13981e-06,  3.75920e-06,
00:02:49,    169059,  1.25877e-07,  1.13557e-06,  3.76915e-06,
00:02:49,    169319,  1.25877e-07,  1.12992e-06,  3.75920e-06,
00:02:49,    169579,  1.20721e-07,  1.13595e-06,  3.77136e-06,
00:02:49,    169865,  1.21549e-07,  1.13840e-06,  3.76362e-06,
00:02:50,    170098,  1.21457e-07,  1.13609e-06,  3.78130e-06,
00:02:50,    170384,  1.21457e-07,  1.13737e-06,  3.76362e-06,
00:02:50,    170644,  1.17406e-07,  1.13185e-06,  3.78462e-06,
00:02:50,    170929,  1.16945e-07,  1.14341e-06,  3.77246e-06,
00:02:51,    171188,  1.16577e-07,  1.13852e-06,  3.78462e-06,
00:02:51,    171501,  1.11604e-07,  1.13994e-06,  3.78572e-06,
00:02:51,    171787,  1.15840e-07,  1.14353e-06,  3.78130e-06,
00:02:52,    172074,  1.13814e-07,  1.13570e-06,  3.77688e-06,
00:02:52,    172334,  1.09578e-07,  1.14714e-06,  3.77025e-06,
00:02:52,    172593,  1.09487e-07,  1.13737e-06,  3.78241e-06,
00:02:52,    172853,  1.06540e-07,  1.13442e-06,  3.76915e-06,
00:02:53,    173166,  1.07552e-07,  1.13262e-06,  3.79788e-06,
00:02:53,    173425,  1.09394e-07,  1.13750e-06,  3.76252e-06,
00:02:53,    173711,  1.08197e-07,  1.13724e-06,  3.77799e-06,
00:02:53,    173997,  1.08289e-07,  1.13905e-06,  3.78572e-06,
00:02:54,    174310,  1.05343e-07,  1.14341e-06,  3.77688e-06,
00:02:54,    174596,  1.07645e-07,  1.13609e-06,  3.79125e-06,
00:02:54,    174856,  1.03869e-07,  1.14495e-06,  3.78020e-06,
00:02:55,    175115,  9.87125e-08,  1.14226e-06,  3.77909e-06,
