,t,inlet,1,2,3,4,5
0,0.0,1,0.0,0.0,0.0,0.0,0.0
1,0.06,1,0.0,0.0,0.0,0.0,0.0
2,0.12,1,0.0,0.0,0.0,0.0,0.0
3,0.18,1,0.0,0.0,0.0,0.0,0.0
4,0.24,1,0.0,0.0,0.0,0.0,0.0
5,0.3,1,0.0,0.0,0.0,0.0,0.0
6,0.36,1,0.0,0.0,0.0,0.0,0.0
7,0.42,1,0.0,0.0,0.0,0.0,0.0
8,0.48,1,0.0,0.0,0.0,0.0,0.0
9,0.54,1,0.0,0.0,0.0,0.0,0.0
10,0.6,1,0.0,0.0,0.0,0.0,0.0
11,0.6599999999999999,1,0.0,0.0,0.0,0.0,0.0
12,0.72,1,0.0,0.0,0.0,0.0,0.0
13,0.78,1,0.0,0.0,0.0,0.0,0.0
14,0.84,1,0.0,0.0,0.0,0.0,0.0
15,0.8999999999999999,1,0.0,0.0,0.0,0.0,0.0
16,0.96,1,0.0,0.0,0.0,0.0,0.0
17,1.02,1,0.0,0.0,0.0,0.0,0.0
18,1.08,1,0.0,0.0,0.0,0.0,0.0
19,1.14,1,0.0,0.0,0.0,0.0,0.0
20,1.2,1,0.0,0.0,0.0,0.0,0.0
21,1.26,1,0.0,0.0,0.0,0.0,0.0
22,1.3199999999999998,1,0.0,0.0,0.0,0.0,0.0
23,1.38,1,0.0,0.0,0.0,0.0,0.0
24,1.44,1,0.0,0.0,0.0,0.0,0.0
25,1.5,1,0.0,0.0,0.0,0.0,0.0
26,1.56,1,0.0,0.0,0.0,0.0,0.0
27,1.6199999999999999,1,0.0,0.0,0.0,0.0,0.0
28,1.68,1,0.0,0.0,0.0,0.0,0.0
29,1.74,1,0.0,0.0,0.0,0.0,0.0
30,1.7999999999999998,1,0.0,0.0,0.0,0.0,0.0
31,1.8599999999999999,1,0.0,0.0,0.0,0.0,0.0
32,1.92,1,0.0,0.0,0.0,0.0,0.0
33,1.98,1,0.0,0.0,0.0,0.0,0.0
34,2.04,1,0.0,0.0,0.0,0.0,0.0
35,2.1,1,0.0,0.0,0.0,0.0,0.0
36,2.16,1,0.0,0.0,0.0,0.0,0.0
37,2.2199999999999998,1,0.0,0.0,0.0,0.0,0.0
38,2.28,1,0.0,0.0,0.0,0.0,0.0
39,2.34,1,0.0,0.0,0.0,0.0,0.0
40,2.4,1,0.0,0.0,0.0,0.0,0.0
41,2.46,1,0.0,0.0,0.0,0.0,0.0
42,2.52,1,0.0,0.0,0.0,0.0,0.0
43,2.58,1,0.0,0.0,0.0,0.0,0.0
44,2.6399999999999997,1,0.0,0.0,0.0,0.0,0.0
